"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","m/mu Johnston Atoll to Japan",669.865950515369,800.32959235834,872.046448108277,960.548099884795,1097.11530391925,844.580418246599,877.761602249371,111.105830627685
"2","m/mu MHI to Japan",360.110169297556,396.73154244646,417.331064842719,439.456477786848,483.707303675107,415.042229020912,418.648154014874,31.5895830964862
"3","m/mu NWHI to Japan",660.710607228144,754.55287592221,805.670209275889,861.36521427318,972.755224267763,798.803701810469,809.593802192255,79.9906241321487
"4","m/mu Japan to Johnston Atoll",85.4498706807761,99.9458308855506,108.338228898841,118.256517460003,138.093094582326,106.81233835097,109.522569461424,13.5851471414344
"5","m/mu MHI to Johnston Atoll",85.4498706807761,99.9458308855506,108.338228898841,117.493572186067,137.33014930839,106.81233835097,109.201416708058,13.3320463991798
"6","m/mu NWHI to Johnston Atoll",83.9239801329051,98.4199403376796,106.81233835097,115.967681638196,135.804258760519,104.523502529164,107.405558091416,13.4705635211632
"7","m/mu Japan to MHI",348.665990188524,384.524418063492,404.360995185815,424.960517582074,466.922507648526,402.072159364009,405.046459720456,30.066111239296
"8","m/mu Johnston Atoll to MHI",643.925811201563,765.997055031243,840.002746602986,907.14193070931,1061.25687604428,857.550487903503,840.319892135883,105.963804328879
"9","m/mu NWHI to MHI",691.991363459499,787.359522701437,842.291582424793,903.327204339633,1029.97611981293,833.136239137567,848.097793595547,86.7959557312479
"10","m/mu Japan to NWHI",139.618985130197,152.5890547871,160.218507526455,167.84796026581,183.869811018456,159.45556225252,160.498197731748,11.4041047952245
"11","m/mu Johnston Atoll to NWHI",166.322069717939,192.262209031746,207.521114510456,224.305910537037,261.690228959877,204.469333414714,209.300975921389,24.4251655499375
"12","m/mu MHI to NWHI",140.381930404132,154.114945334971,161.744398074326,170.136796087617,186.158646840262,160.981452800391,162.245343856831,11.7020414558704
