SampleID	IndividualID	PopulationID
2	A163	Johnston_Atoll
3	B70	Johnston_Atoll
4	ECO244	MHI
5	ECO245	MHI
6	ECO246	MHI
7	ECO247	MHI
8	ECO248	MHI
9	ECO250	MHI
10	ECO251	MHI
11	ECO252	MHI
12	ECO253	MHI
13	ECO254	MHI
14	ECO255	MHI
15	ECO256	MHI
16	ECO257	MHI
17	ECO258	NWHI
18	ECO259	NWHI
19	ECO260	NWHI
20	ECO261	NWHI
21	ECO262	NWHI
22	ECO263	NWHI
23	ECO264	NWHI
24	ECO265	NWHI
25	ECO266	NWHI
26	ECO267	NWHI
27	ECO287	NWHI
28	ECO289	NWHI
29	ECO291	NWHI
30	ECO292	NWHI
31	ECO293	NWHI
32	ECO313	NWHI
33	ECO322	NWHI
34	ECO324	NWHI
35	ECO331	NWHI
36	ECO335	NWHI
37	ECO336	NWHI
38	ECO343	NWHI
39	ECO345	NWHI
40	ECO347	NWHI
41	ECO348	NWHI
42	ECO350	NWHI
43	ECO355	NWHI
44	ECO529	MHI
45	JAP01	Japan
46	JAP02	Japan
47	JAP03	Japan
48	JAP04	Japan
49	JAP05	Japan
50	JAP06	Japan
51	JAP07	Japan
52	JAP08	Japan
53	JAP09	Japan
54	JAP10	Japan
55	JAP11	Japan
56	JAP12	Japan
57	JAP14	Japan
58	JAP15	Japan
59	S29	Johnston_Atoll
60	S36	Johnston_Atoll
