locus,length,segSites,nHaps,nucDiv,ttRatio,model,gammaShape,rate1,rate2,rate3,rate4,Q1,Q2,Q3
L10258_,313,5,6,3.291085411062115e-4,4,F81,1,1,NA,NA,NA,1,NA,NA
L10353_,325,1,2,1.0493086123338224e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L1054_,319,3,4,0.001384696273331339,0.5,F81,1,1,NA,NA,NA,1,NA,NA
L10617_,301,1,2,1.1358495288149624e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10733_,305,2,3,2.7868774628495463e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L10906_,303,1,2,1.677804227493045e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L11063_,300,6,6,9.538298077851829e-4,5,K80,1,1,NA,NA,NA,1,10.042532558558257,NA
L11105_,300,5,6,3.953117083010679e-4,1.5,F81,1,1,NA,NA,NA,1,NA,NA
L11181_,303,4,5,0.0018169042360971692,0.3333333333333333,JC,1,1,NA,NA,NA,1,NA,NA
L11574_,301,5,6,6.757342112102573e-4,0.6666666666666666,JC,1,1,NA,NA,NA,1,NA,NA
L11756_,276,1,2,2.3545650144115617e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L11818_,334,2,3,1.4886193998557508e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11851_,338,4,5,6.883241101318577e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L12106_,386,1,2,1.307437868764527e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1227_,381,7,8,7.059427544602747e-4,6,K80,1,1,NA,NA,NA,1,12.027631068384727,NA
L12608_,305,3,4,4.443811422874234e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L13921_,300,2,2,3.3903216458997394e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L13974_,300,1,2,1.1397662513281173e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L14050_,300,3,3,2.854245146334396e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L14403_,300,2,3,1.7144788950062783e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L14455_,284,4,5,0.0013093265475204168,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L14827_,302,1,2,3.280764360538736e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14907_,341,1,2,9.985867458765983e-5,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14910_,308,2,3,3.289906566653507e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14947_,406,3,4,2.896613190730838e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L15008_,363,7,8,9.807889161330256e-4,2.5,JC,1,1,NA,NA,NA,1,NA,NA
L15186_,316,6,7,6.389483898134417e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L15308_,317,3,4,2.6961924835080614e-4,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L15354_,301,3,4,5.000625679825194e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L15604_,305,2,3,1.685419930684138e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L15683_,437,14,14,0.0013339762134361942,2.5,K80,1,1,NA,NA,NA,1,5.512611644241185,NA
L15933_,275,2,3,4.0896358543417367e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L15934_,422,4,4,2.0158548856435778e-4,3,JC,1,1,NA,NA,NA,1,NA,NA
L1607_,301,1,2,1.6893355280256432e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1608_,417,5,5,2.852738146855794e-4,0.6666666666666666,JC,1,1,NA,NA,NA,1,NA,NA
L16189_,307,9,9,0.0016240839770251534,2,F81,1,1,NA,NA,NA,1,NA,NA
L16395_,301,5,6,3.426800273373954e-4,0.25,JC,1,1,NA,NA,NA,1,NA,NA
L16578_,304,1,2,1.124259227500524e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L16832_,322,12,12,0.0011644401350283703,1.4,JC,1,1,NA,NA,NA,1,NA,NA
L17094_,391,3,4,2.1725225523280177e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L17115_,419,3,4,0.0011844835733804523,2,JC,1,1,NA,NA,NA,1,NA,NA
L17378_,305,1,2,1.1204481792717086e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L17402_,301,2,3,2.8059333699115383e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L1744_,307,3,4,4.956191230701035e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L17531_,409,2,3,1.2429971988795518e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L17673_,343,4,5,4.7284219810373124e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L17738_,363,3,5,9.922949349711557e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L17799_,304,2,3,3.8634501419615463e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L18017_,232,6,7,0.0014778325123152708,5,F81,1,1,NA,NA,NA,1,NA,NA
L18037_,303,3,4,5.023852544430742e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L18406_,489,6,6,4.1168868382426035e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L18493_,302,2,3,0.0015190322704424235,0,F81,1,1,NA,NA,NA,1,NA,NA
L18547_,369,3,4,2.243173692241124e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L18558_,307,8,8,8.808910769695082e-4,7,HKY,1,1,NA,NA,NA,1,14.923720200818126,NA
L18659_,301,2,3,3.340167682193152e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L18992_,311,6,6,6.025666080385643e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L1921_,323,1,2,4.009271440205475e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L19348_,256,4,4,5.131740196078432e-4,3,JC,1,1,NA,NA,NA,1,NA,NA
L19379_,305,6,7,8.322651094336039e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L19627_,301,3,4,2.834810900305139e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L20177_,303,14,10,0.0012842425105635475,3.6666666666666665,K80,1,1,NA,NA,NA,1,7.4023795006400235,NA
L20347_,301,4,5,0.0018101398635055397,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L20600_,308,2,3,4.276878536649559e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L20674_,300,3,4,4.520428861199652e-4,2,F81,1,1,NA,NA,NA,1,NA,NA
L20713_,301,5,6,0.0011551012157440294,0.6666666666666666,JC,1,1,NA,NA,NA,1,NA,NA
L20780_,308,6,7,9.066042524392306e-4,5,K80,1,1,NA,NA,NA,1,10.02781106480119,NA
L21338_,308,4,3,6.029928750023499e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L21378_,370,4,5,6.216931216931217e-4,3,JC,1,1,NA,NA,NA,1,NA,NA
