# Population MHI	Etelis_ECO244,Etelis_ECO245,Etelis_ECO246,Etelis_ECO247,Etelis_ECO248,Etelis_ECO250,Etelis_ECO251,Etelis_ECO252,Etelis_ECO253,Etelis_ECO254,Etelis_ECO255,Etelis_ECO256,Etelis_ECO257,Etelis_ECO529
# Population Japan	Etelis_JAP01,Etelis_JAP02,Etelis_JAP03,Etelis_JAP04,Etelis_JAP05,Etelis_JAP06,Etelis_JAP07,Etelis_JAP08,Etelis_JAP09,Etelis_JAP10,Etelis_JAP11,Etelis_JAP12,Etelis_JAP14,Etelis_JAP15
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
90	MHI	Japan	un	645	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
375	MHI	Japan	un	1000	-0.00823	-1.00000	-1.00000	-0.00418	-1.00000	-1.00000	-0.00418	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
393	MHI	Japan	un	1302	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
468	MHI	Japan	un	1635	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
521	MHI	Japan	un	2542	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
653	MHI	Japan	un	2842	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
666	MHI	Japan	un	3144	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
718	MHI	Japan	un	3445	-0.01565	-1.00000	-1.00000	-0.00517	-1.00000	-1.00000	-0.00517	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
722	MHI	Japan	un	3749	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
843	MHI	Japan	un	4062	-0.02066	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
872	MHI	Japan	un	4364	-0.00204	-1.00000	-1.00000	-0.01050	-1.00000	-1.00000	-0.01050	-1.00000	-1.00000	0.00138	-1.00000	-1.00000
921	MHI	Japan	un	5322	-0.01031	-1.00000	-1.00000	0.00052	-1.00000	-1.00000	0.00052	-1.00000	-1.00000	0.00155	-1.00000	-1.00000
1011	MHI	Japan	un	5642	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1047	MHI	Japan	un	5949	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
1053	MHI	Japan	un	6298	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1054	MHI	Japan	un	6598	0.09131	-1.00000	-1.00000	0.07117	-1.00000	-1.00000	0.07117	-1.00000	-1.00000	0.00162	-1.00000	-1.00000
1227	MHI	Japan	un	7233	0.00109	-1.00000	-1.00000	0.00352	-1.00000	-1.00000	0.00352	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
1252	MHI	Japan	un	7614	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1284	MHI	Japan	un	7919	0.01341	-1.00000	-1.00000	0.03353	-1.00000	-1.00000	0.03353	-1.00000	-1.00000	0.00125	-1.00000	-1.00000
1287	MHI	Japan	un	8297	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
1407	MHI	Japan	un	9259	-0.01416	-1.00000	-1.00000	-0.00434	-1.00000	-1.00000	-0.00434	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
1437	MHI	Japan	un	9563	0.00033	-1.00000	-1.00000	0.00407	-1.00000	-1.00000	0.00407	-1.00000	-1.00000	0.00087	-1.00000	-1.00000
1500	MHI	Japan	un	9889	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1524	MHI	Japan	un	10191	-0.02439	-1.00000	-1.00000	-0.00280	-1.00000	-1.00000	-0.00280	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
1617	MHI	Japan	un	11247	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
