locus,length,segSites,nHaps,nucDiv,ttRatio,model,gammaShape,rate1,rate2,rate3,rate4,Q1,Q2,Q3
L10078_,306,2,3,0.00036178797646687554,1,JC,1,1,NA,NA,NA,1,NA,NA
L10115_,380,4,5,3.886121317313978e-4,3,JC,1,1,NA,NA,NA,1,NA,NA
L10179_,303,1,2,1.2296936867184542e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L10201_,306,2,3,5.212677231025855e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L10206_,303,6,6,0.001024175436299305,2,JC,1,1,NA,NA,NA,1,NA,NA
L10231_,305,1,2,0.0011670742567959176,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10252_,418,2,3,2.616559551260037e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10394_,381,2,3,4.2668081442531855e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L10444_,302,3,4,4.809944360026049e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L10447_,401,3,4,0.0011885437352951844,2,JC,1,1,NA,NA,NA,1,NA,NA
L10510_,303,1,2,0.0014465979897924038,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10539_,302,7,7,0.003946210883498806,0.75,JC,1,1,NA,NA,NA,1,NA,NA
L10580_,300,1,2,1.2424146558914035e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10688_,303,3,4,2.470773426091709e-4,2,F81,1,1,NA,NA,NA,1,NA,NA
L10697_,307,4,5,8.188642050193343e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L10747_,402,4,5,0.0017557147963438919,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L10753_,303,3,4,6.045993959699066e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L10763_,301,2,2,4.8608663003820476e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1095_,300,6,5,0.001512179689971528,2,F81,1,1,NA,NA,NA,1,NA,NA
L11058_,301,3,4,0.001759771172426048,2,JC,1,1,NA,NA,NA,1,NA,NA
L11098_,301,2,3,1.8629499382360443e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L11112_,427,2,3,3.7001258042773454e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11138_,302,1,2,1.8337198807225196e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L11218_,305,3,4,0.001389293337668396,0,JC,1,1,NA,NA,NA,1,NA,NA
L11246_,300,1,2,5.228495010209657e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L11342_,302,2,3,2.4563848869491695e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1140_,304,3,4,0.0010649464122596494,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L11445_,269,1,2,2.629204634593264e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L11457_,300,3,4,0.0015466912081907335,2,JC,1,1,NA,NA,NA,1,NA,NA
L11463_,306,1,2,6.136870815769899e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11502_,303,1,2,2.9888388218851316e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11508_,302,7,8,0.003005929598866635,0.75,JC,1,1,NA,NA,NA,1,NA,NA
