locus,length,segSites,nHaps,nucDiv,ttRatio,model,gammaShape,rate1,rate2,rate3,rate4,Q1,Q2,Q3
L10179_,303,1,2,1.2296936867184542e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L10206_,303,6,6,0.001024175436299305,2,JC,1,1,NA,NA,NA,1,NA,NA
L10231_,305,1,2,0.0011670742567959176,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10364_,303,2,3,0.0013236286211205585,1,F81,1,1,NA,NA,NA,1,NA,NA
L10697_,307,4,5,8.188642050193343e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L10744_,373,2,3,6.396515002171231e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L10760_,305,1,2,1.8150718819355112e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L10887_,303,2,3,3.057155137813935e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L11103_,307,1,2,4.433662145164402e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11218_,305,3,4,0.001389293337668396,0,JC,1,1,NA,NA,NA,1,NA,NA
L11434_,301,1,2,4.132882786055963e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L11445_,269,1,2,2.629204634593264e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L1150_,309,4,5,0.0011737559077008618,1,F81,1,1,NA,NA,NA,1,NA,NA
L11502_,303,1,2,2.9888388218851316e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11508_,302,7,8,0.003005929598866635,0.75,JC,1,1,NA,NA,NA,1,NA,NA
L11599_,300,2,3,0.001983261913663685,1,F81,1,1,NA,NA,NA,1,NA,NA
L11610_,353,1,2,0.0011671533858390252,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L11733_,349,2,3,0.0015632496106637536,1,JC,1,1,NA,NA,NA,1,NA,NA
L11793_,302,1,2,1.23390496646749e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L12003_,301,1,2,1.2381451897199556e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
